Wahlkreis;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
01 Stuttgart I;98228;56516;41702;10;68168;39310;182;67986;30491;12181;2231;6365;6864;5125;303;510;1149;623;;;;;;;766;;;476;877;25
02 Stuttgart II;91940;54957;36981;2;64251;35133;161;64090;25524;13928;3131;6413;8273;2798;373;;893;927;;;;375;;;573;;;319;563;
03 Stuttgart III;89208;61086;28120;2;53400;26494;204;53196;18010;12935;4231;6485;5663;2559;316;;841;996;;;;;;;436;;;369;355;
04 Stuttgart IV;91723;62181;29532;10;54639;27839;199;54440;19386;11731;3181;7207;5278;3822;201;;946;883;;;;342;;;560;;194;241;468;
05 Böblingen;129808;84511;45295;2;82205;42915;469;81736;25639;20709;7694;10700;9338;1908;410;;1097;2084;;;;;;;404;;;749;357;647
06 Leonberg;130289;79340;50948;1;89494;48504;462;89032;29124;23108;7329;9438;10393;2082;620;;1255;3137;;;;668;;178;582;;;647;471;
07 Esslingen;111191;69668;41523;0;72987;39118;349;72638;25904;17297;5215;10300;6810;2724;473;;857;1424;;;;555;;;619;;;460;;
08 Kirchheim;119713;75283;44430;0;80592;42148;476;80116;26552;19560;7638;10111;8279;2236;564;;1229;1118;;;;1123;;;569;;;585;;552
09 Nürtingen;124739;78063;46673;3;84497;44323;511;83986;32562;18141;7612;7749;9731;2182;569;;1162;2186;;;;727;310;;627;;;428;;
10 Göppingen;94014;65687;28327;0;56443;26884;341;56102;16167;14846;6919;6918;4998;1168;334;;883;2279;;;;556;;;422;;;419;193;
11 Geislingen;88430;57004;31426;0;58039;29857;466;57573;15829;16073;6649;8298;5936;1322;374;;;1399;;;;;;;444;;;981;268;
12 Ludwigsburg;122745;81682;41060;3;78752;38770;441;78311;27107;17366;6827;9439;8767;3266;460;;1322;2038;;;;653;;;607;;;459;;
13 Vaihingen;114250;70592;43658;0;79065;41551;428;78637;27468;19478;6778;7198;8738;2098;601;;1209;3082;;;;757;;;395;;;503;332;
14 Bietigheim-Bissingen;124862;79098;45764;0;83195;43715;451;82744;28326;20267;7648;8736;9020;2296;505;;1254;2206;;;;819;274;;408;;;523;462;
15 Waiblingen;105445;68614;36831;0;68720;34822;389;68331;20468;17183;5563;7411;9070;2101;423;;921;3201;;;;605;;;484;;;424;;477
16 Schorndorf;95490;63120;32370;0;64632;30669;344;64288;19088;15574;6380;6700;10491;1690;516;;963;1125;;;;943;;;484;;;334;;
17 Backnang;93471;64690;28781;0;59777;27109;401;59376;14279;13791;7202;11274;6243;1406;431;1062;944;1110;;;;792;;;360;;;482;;
18 Heilbronn;99489;70667;28814;8;60015;27198;468;59547;17845;13694;7117;6921;7341;2118;405;;986;1212;;;;480;;;361;;;671;396;
19 Eppingen;105990;70705;35285;0;69366;33661;575;68791;18109;16824;9434;7665;9252;1790;845;;1267;2123;;;;753;;;;;;729;;
20 Neckarsulm;112091;78428;33663;0;72328;32051;655;71673;19611;17905;9982;9078;7112;2167;544;;1278;2255;;;;629;;;;;;700;412;
21 Hohenlohe;98928;72091;26837;0;62226;25521;576;61650;17718;15027;8707;7322;6709;1730;707;;;2407;;;;;;;;;;893;430;
22 Schwäbisch Hall;125970;91316;34654;0;77415;32901;622;76793;22003;17808;9606;8716;10082;2560;967;;1358;1421;;;;1343;;;402;;;527;;
23 Main-Tauber;100502;68574;31928;0;64145;30264;572;63573;17252;18776;6770;6630;5371;1534;796;;926;3895;;;;539;;;317;;;767;;
24 Heidenheim;92576;64553;28023;0;55656;26585;410;55246;14273;12361;6274;11133;4224;1452;913;;959;1803;;;107;815;;;388;;;544;;
25 Schwäbisch Gmünd;108098;72708;35389;1;69318;33563;540;68778;20712;17723;8243;7441;7453;2360;405;;1178;;;;;723;;;474;;;620;;1446
26 Aalen;122157;81270;40887;0;78003;38761;579;77424;19353;23076;7352;7738;7060;2091;311;;921;7530;;;;721;;;466;;;486;319;
27 Karlsruhe I;103423;57051;46372;0;66076;43998;297;65779;25748;11507;4375;7744;5394;4552;319;;1425;944;;216;;645;;;1151;306;;324;1129;
28 Karlsruhe II;101847;60486;41361;0;60036;39223;265;59771;23097;10989;4483;7196;4363;4020;321;;1247;908;;;;687;;;1011;365;;;1084;
29 Bruchsal;112897;67992;44905;0;72016;42610;759;71257;18735;19336;9379;8392;6920;1867;;;1371;2531;;;;806;;;739;;;843;338;
30 Bretten;114197;71346;42851;0;75200;40579;720;74480;23870;17126;8368;8066;8468;2108;;;1301;2570;;;;869;;;971;;;763;;
31 Ettlingen;94043;58274;35769;0;63594;33863;493;63101;21148;15297;5979;7457;6457;1759;297;;1001;2025;;;;643;;;604;;;434;;
32 Rastatt;113287;78329;34958;0;67683;33073;635;67048;20349;15956;8444;9100;5367;1891;;;888;2578;;;;892;;;721;;;442;420;
33 Baden-Baden;90818;59448;31370;0;57569;29598;385;57184;18669;15874;5081;6348;5029;1523;375;;;2202;;;;1255;;;507;;;;321;
34 Heidelberg;98968;59462;39506;0;66562;36991;294;66268;27607;10139;3434;8386;4649;5582;426;;1240;972;;;;584;;;1514;;;282;1453;
35 Mannheim I;91398;66262;25136;0;46889;23392;468;46421;12925;7079;5895;10064;3089;2889;248;;1049;1377;;;;427;;;570;;;226;355;228
36 Mannheim II;104562;65178;39384;0;64624;37219;399;64225;23061;10728;5103;10222;5960;3561;218;;1152;1535;;;;507;;;986;;;302;890;
37 Wiesloch;99366;64192;35172;2;63041;33370;586;62455;18518;16621;6975;7585;5856;1732;300;;1037;1665;;;;609;;;553;;;526;478;
38 Neckar-Odenwald;107925;72792;35133;0;67049;33242;600;66449;15718;21007;8205;8074;5264;1587;671;;;2649;;;;;;;392;;;2443;439;
39 Weinheim;107170;65007;42163;0;72306;39993;644;71662;25500;16198;5633;9577;6137;2592;503;;1162;2084;;;;793;;;581;;;322;580;
40 Schwetzingen;92364;60212;32152;0;57287;30392;643;56644;17736;13366;5917;8399;4617;1770;346;;1079;2049;;;;455;;;434;;;476;;
41 Sinsheim;96488;60808;35680;0;61207;33816;567;60640;17754;15682;6662;8369;5536;1733;543;;;1891;;368;;518;;;443;;;636;505;
42 Pforzheim;91744;66956;24788;0;49546;23198;388;49158;12902;9877;7769;4987;7932;1618;317;;;2165;;;;;;;370;;;625;424;172
43 Calw;111854;74056;37796;2;71210;35816;492;70718;19185;20367;9523;5502;7094;1920;737;;;4306;;;;750;;;555;;;779;;
44 Enz;124894;78666;46225;3;82834;43957;666;82168;25366;16045;10623;7805;13936;1898;567;;;2315;;1023;;;;;663;;;1384;543;
45 Freudenstadt;86150;61081;25069;0;53555;23761;391;53164;13134;14490;7017;4453;7894;1169;446;;;2389;;606;;571;;;466;;;529;;
46 Freiburg I;125235;75113;50120;2;88392;47253;480;87912;35383;17063;4495;9828;6601;5969;709;;1311;2546;;191;;1164;;;1317;;;550;785;
47 Freiburg II;125819;78971;46848;0;81199;44049;398;80801;32570;10725;4655;10226;4779;9018;571;;1741;2294;;222;;984;;;1774;;;396;846;
48 Breisgau;128592;81356;47236;0;85155;44681;638;84517;31879;20208;5914;8709;7603;3162;654;;1375;2381;;;;995;;;828;;;809;;
49 Emmendingen;123105;75465;47640;0;80042;45139;584;79458;28749;17343;5686;9135;8041;2694;1116;;1439;2992;;;;;;;932;;;937;394;
50 Lahr;109718;75558;34160;0;66902;32397;556;66346;21947;16286;6644;6907;6745;1731;459;;961;2532;;403;;790;;;558;;;383;;
51 Offenburg;99374;67564;31810;0;61423;30001;494;60929;22406;15498;5085;5266;5439;1770;367;;1140;1700;;;;1449;;;406;;;403;;
52 Kehl;105368;71646;33719;3;64648;31822;558;64090;20153;17367;6237;5591;6011;1692;457;;;3157;;;;2265;;;489;;;365;306;
53 Rottweil;102197;69047;33149;1;65711;31465;635;65076;16944;17351;8328;4775;10565;1707;1275;;;1846;;;;903;;;541;;;841;;
54 Villingen-Schwenningen;118883;81032;37851;0;71994;35750;655;71339;24717;16081;8065;6510;8690;1694;561;;;2076;;;;884;;;594;;;990;477;
55 Tuttlingen-Donaueschingen;123424;82137;41287;0;74320;39278;742;73578;20699;21544;9466;5072;9883;1883;594;;;1903;;;;735;;;541;;;802;456;
56 Konstanz;101238;58148;43089;1;63986;40603;315;63671;26808;11566;3695;5317;7689;3415;365;;1047;1877;;;;;;;733;;;654;505;
57 Singen;101317;70582;30734;1;59226;28977;510;58716;18839;12637;6645;7195;6893;1753;355;;1093;1752;;;;637;;;310;;;607;;
58 Lörrach;123417;82112;41305;0;74019;38710;581;73438;26320;15689;5809;9252;7552;2235;411;;1400;1752;;515;;1006;;;952;;;545;;
59 Waldshut;121361;86516;34842;3;68708;32773;568;68140;25275;15607;6717;6555;6973;1806;538;;;2170;;;;905;;;583;;;448;563;
60 Reutlingen;128012;83575;44437;0;81404;42025;505;80899;29259;17790;7668;8275;9162;2975;561;;1103;1576;;;;743;;;800;;;577;410;
61 Hechingen-Münsingen;118234;79771;38462;1;76290;36405;724;75566;23888;18856;9215;6751;9505;1955;423;;;2183;;537;;901;;;560;;;457;335;
62 Tübingen;131269;78314;52955;0;92525;50143;435;92090;35909;18879;5961;10654;7035;6185;572;;1186;1583;;;;704;421;;1256;305;;712;728;
63 Balingen;119638;80587;39051;0;73577;36946;739;72838;19271;23777;8908;5688;7278;1753;507;;1131;1729;;;;730;;;644;;;506;;916
64 Ulm;120233;80042;40191;0;76253;37989;460;75793;27671;17334;5640;9967;5941;3264;529;813;;1901;;;;888;;;801;;274;372;398;
65 Ehingen;101723;67957;33766;0;67670;32092;527;67143;19793;24126;6807;4715;5480;1420;584;;;2337;;;;767;;;445;;;669;;
66 Biberach;130761;81049;49712;0;85186;47361;606;84580;24452;28876;8422;4931;6869;1823;1935;493;1394;2821;;;;1139;;;472;;;528;425;
67 Bodensee;130185;80027;50156;2;87366;46122;552;86814;31921;19018;7488;7399;11506;2668;891;;1174;1790;;;;1200;;;651;;;685;423;
68 Wangen;125021;80499;44520;2;79736;42305;531;79205;24773;24212;7495;5159;7053;2139;1542;;;3074;555;;;1175;;;772;;;825;431;
69 Ravensburg;125888;80144;45744;0;82222;43278;552;81670;27069;19319;7089;6735;9357;2777;1320;;1345;3165;420;;;1000;;;1011;;;625;438;
70 Sigmaringen;96285;67457;28828;0;60934;27305;541;60393;19675;16777;6773;3765;7321;1473;523;;873;1503;;;;604;;;336;;;770;;
Land Baden-Württemberg;7671039;5004671;2666303;65;4894500;2522626;34849;4859651;1586192;1168975;473485;535489;508429;173317;37819;2878;59463;146259;975;4081;107;48497;1005;178;42685;976;468;41128;22782;4463